model,group_cv_r2,group_cv_mae,group_cv_rmse,cv_r2,cv_mae,cv_rmse,test_r2,test_mae,test_rmse,test_mape_pct,fit_seconds
Gradient Boosting,0.9977325059936627,0.0032313649580550333,0.004901476026937318,0.9999988838566094,8.09569840614353e-05,0.00010874612860743483,0.9999995216676464,5.491122242688523e-05,6.816990786365316e-05,0.023646053901120415,4.036
Hist Gradient Boosting,0.9958214176142072,0.004989054310480613,0.006653777798175524,0.9999974035731966,0.00010840405602943747,0.00016586007249304769,0.9999997665032454,3.1409633814914876e-05,4.762864790891081e-05,0.012158358949090045,13.951
Polynomial (deg3) + Ridge,0.994725127668227,0.006201276360980763,0.007475836341494053,0.9968343891951487,0.004759105014296137,0.0057913867578358634,0.9967832971525626,0.004576984140696084,0.0055902766458004105,1.8889834556379543,0.168
Extra Trees,0.9946882727021201,0.005979632528125336,0.0075019073145450674,0.9999972022789897,5.24840000004439e-05,0.00017216941789905023,0.9999992504825546,3.320266250061113e-05,8.533333153706854e-05,0.012487773050234602,5.101
Random Forest,0.9930878594977808,0.006639008750000504,0.00855775970486784,0.99999999456725,1.4714593760538006e-06,7.586887976507382e-06,1.0,1.1121659149182506e-15,1.4011590784024786e-15,4.145663889809593e-13,7.982
Polynomial (deg2) + Ridge,0.9867759297797863,0.010146104325914208,0.011836856491410341,0.9907560199172778,0.008399407954128215,0.009896538294627812,0.9912724634205028,0.007877300281266063,0.009208177184883768,3.50366662503535,0.126
MLP (64-64-32),0.9780409659832972,0.012623314874079427,0.015253181032079505,0.9851656603803238,0.01038435428532808,0.012536835222514262,0.9797209823809574,0.011467638546100088,0.014036256141153263,4.831214142687164,2.323
Linear Regression,0.9702170412654514,0.015149150609371395,0.017763875832817792,0.9762541387932309,0.013519058933541595,0.015861628411370676,0.979316370506775,0.012197083081620166,0.01417559195043104,5.833472503157536,0.077
Gaussian Process (Matern 5/2),0.7889573385953104,0.02127124079470212,0.047286692328043424,0.9999999999992939,5.7058083373310446e-08,8.649733800792504e-08,0.9999999999995227,4.3507605547582486e-08,6.809854655469669e-08,1.8047754952185733e-05,163.946
