model,group_cv_r2,group_cv_mae,group_cv_rmse,cv_r2,cv_mae,cv_rmse,test_r2,test_mae,test_rmse,test_mape_pct,fit_seconds
Gradient Boosting,0.9977812169658503,0.0032833250236152284,0.0048258444728139695,0.9998304751972232,0.0005020942707658331,0.0013339284247824647,0.9998500873209523,0.00044885771872454216,0.0012023665269237395,0.2432468233139749,4.008
Hist Gradient Boosting,0.9955941843518934,0.0051189163166505056,0.006800315523156851,0.9998706505027968,0.000494658373147679,0.001165194096569694,0.9999609294991973,0.0003297528512770951,0.000613821623570076,0.16028216819777014,12.329
Polynomial (deg3) + Ridge,0.9946186475968417,0.006235470034412516,0.007515564731993824,0.9966706568551675,0.004830284238263172,0.00591146581633449,0.9967207251752118,0.004578104784392667,0.0056234987384622785,1.891923162351562,0.177
Extra Trees,0.9945733808160988,0.006029532862500061,0.007547108194958523,0.999934350048459,0.0003468611593750088,0.0008301051497089127,0.9999521967258156,0.000278212787500016,0.0006789636383871813,0.13971879374337506,5.981
Gaussian Process (Matern 5/2),0.9932317979059891,0.00545882263259865,0.008428544074192619,0.9999839417925273,0.00015731186323167642,0.0004105484676863486,0.9999884157050347,0.00010578816559038952,0.00033423544048894334,0.05565912205476482,122.45
Random Forest,0.9929377838980893,0.006704080334375034,0.00860966799430659,0.9999115072634319,0.0003482880218750178,0.0009637618165786959,0.9999334233451984,0.0003732737874999968,0.0008012696249414196,0.17917070770455396,8.563
Polynomial (deg2) + Ridge,0.9870303207752567,0.009978392379597108,0.011667572834487973,0.9909056280955446,0.00825272911069126,0.009770173100430083,0.9917132825179481,0.0075949788503327145,0.008939412153179302,3.3852283048731517,0.171
MLP (64-64-32),0.9795366926378155,0.012159819687473873,0.014655607213383768,0.9827913594679228,0.01104065794130493,0.013439687931817034,0.9850958115782769,0.009828568444315582,0.011988693596466532,4.196080471507795,2.348
Linear Regression,0.9711613230770546,0.014742797174026307,0.017398169957298346,0.9770486894427027,0.01316928094436003,0.015520998177583229,0.9797540368520455,0.011969362961862424,0.013972911731954913,5.716651645739656,0.086
